FID,Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,Sub Location,Spatial_Re,Facility Type,Agency,Latitude,Longitude,GlobalID,x,y
1110,25,NGOMENI DISP,905,EASTERN,MWINGI,NGOMENI,NGOMENI,IKIME,DSA/DFH(MOH)-UNFPA REPORT,4,MOH,-0.643176,38.4302,daeca9ba-ff7f-4ea4-92fe-092eff71f4d6,4278030.29508367,-71599.5285681633
1111,77,ST. MICHAELS DISP,0,EASTERN,MAKUENI,MATILIKU,NZAUI,MATILIKU,GPS,4,MISS,-1.94475,37.53555,42329b29-a07b-4b85-aaba-ad6e5d7ffedd,4178438.31264547,-216530.160357916
1112,12,MAGETA DISP,165,NYANZA,BONDO,USIGU,MAGETA ISLAND,MAHANGA(BONDO),GPS,4,MOH,-0.1325,34.0103,6e6632aa-cd74-41f4-8051-31147d2d0c91,3786009.27772648,-14749.8456769888
1113,23,KIAMURIUKI DISP,1109,EASTERN,SOUTH MERU,MT. KENYA FOREST,MT. KENYA FOREST,MT. KENYA FOREST(S),DHMT,4,MISS,-0.36,37.59,b307848a-7414-4758-8212-5803b6f0f392,4184499.65891916,-40075.2803712166
1114,26,NGUNGANI DISP,4581,EASTERN,MWINGI,MUUMONI,KAKUYU,MUSOSYA(MWINGI),DSA/DFH(MOH)-UNFPA REPORT,4,MOH,-0.593329,38.0364,98260bc0-5591-4b13-bd99-92229fc2b4a1,4234192.67960928,-66050.2626721054
1115,78,ST. MICHAELS DISP,0,EASTERN,MAKUENI,NGUU,NGUU,NTHUNGUI,GPS,4,MISS,-2.04195,37.64139,030663af-4ab0-4d84-9bdd-a5f957e2186e,4190220.36755103,-227356.967780165
1116,13,MAHAYA DISP,0,NYANZA,BONDO,RARIEDA,WEST  ASEMBO,MAHAYA,GPS,4,MOH,-0.16223,34.34066,7eedb03d-ab48-48ff-bf65-788abffc9032,3822784.78470495,-18059.3851220421
1117,169,SULEIMAN FARUK MEMORIAL MEDICAL CENTRE,0,EASTERN,MAKUENI,TSAVO WEST,TSAVO WEST,TSAVO WEST N. PARK,GPS,4,NGO,-2.69202,38.1663,85c6098b-2390-4d0f-acff-6c10d473098f,4248653.08146332,-299784.614350119
1118,27,NGUNI HEALTH CENTRE,925,EASTERN,MWINGI,NGUNI,NGUNI,MWASUMA,DSA/DFH(MOH)-UNFPA REPORT,3,MOH,-0.80286,38.309,4787f66e-836f-451f-85ae-8209fedf0125,4264538.37279952,-89376.8913082924
1119,14,MANGA BAPTIST CLINIC DISP,0,NYANZA,BONDO,MADIANY,SOUTH UYOMA,NDIGWA,GPS,4,MISS,-0.3353,34.3252,0c2c933b-828b-43cc-9f0d-64a75312efb2,3821063.78537728,-37325.6383117714
